"Lead Entry Date","Prospect Name","Primary Email","Secondary Email","Mobile 1","Mobile 2","Property Interested In","Possession Needed By","Lead Quality","Notes/Remarks","Assigned Agent"
"06/20/2026","Rahul Patel","rahul.patel@realmail.com","","91-987652861","","sarjapur_plots","End of 2026","Cold","Just looking for investment","agent@groweasy.ai"
"06/08/2026","Diana Brown","diana.brown@realmail.com","","91-987653231","","sarjapur_plots","Q1 2027","Warm","Not interested anymore","agent@groweasy.ai"
"06/10/2026","Charlie Sharma","charlie.sharma@realmail.com","","91-987657246","","meridian_tower","Immediate","Warm","Need to schedule a follow up call","agent@groweasy.ai"
"06/03/2026","Grace Sharma","grace.sharma@realmail.com","","91-987659795","91-998872467","varah_swamy","Immediate","Hot","Just looking for investment","agent@groweasy.ai"
"06/19/2026","Peggy Patel","peggy.patel@realmail.com","","91-987656924","","varah_swamy","","Cold","Send more details via email","agent@groweasy.ai"
"06/04/2026","Eve Johnson","eve.johnson@realmail.com","","91-987656440","","varah_swamy","End of 2026","","Need to schedule a follow up call","agent@groweasy.ai"
"06/07/2026","Priya Singh","priya.singh@realmail.com","","91-987654780","","","Immediate","Warm","Payment received","agent@groweasy.ai"
"06/19/2026","Victor Williams","victor.williams@realmail.com","","91-987653252","","varah_swamy","Q1 2027","","Payment received","agent@groweasy.ai"
"06/24/2026","Trent Patel","trent.patel@realmail.com","","91-987651072","","varah_swamy","Q1 2027","Cold","Called twice, didn't pick up","agent@groweasy.ai"
"06/14/2026","Vikram Singh","vikram.singh@realmail.com","","91-987651298","","meridian_tower","","","Send more details via email","agent@groweasy.ai"
"06/23/2026","Sybil Davis","sybil.davis@realmail.com","","91-987659863","","leads_on_demand","Q1 2027","Cold","Called twice, didn't pick up","agent@groweasy.ai"
"06/15/2026","Priya Gupta","priya.gupta@realmail.com","","91-987656087","","eden_park","Immediate","Cold","Called twice, didn't pick up","agent@groweasy.ai"
"06/22/2026","Grace Miller","grace.miller@realmail.com","","91-987659143","","leads_on_demand","","Hot","Called twice, didn't pick up","agent@groweasy.ai"
"06/17/2026","Trent Moore","trent.moore@realmail.com","","91-987653929","","sarjapur_plots","End of 2026","Hot","Called twice, didn't pick up","agent@groweasy.ai"
"06/25/2026","Sybil Wilson","sybil.wilson@realmail.com","","91-987656413","","eden_park","","Hot","Not interested anymore","agent@groweasy.ai"
"06/20/2026","Peggy Davis","peggy.davis@realmail.com","","91-987659617","","sarjapur_plots","End of 2026","Hot","Called twice, didn't pick up","agent@groweasy.ai"
"06/20/2026","Priya Singh","priya.singh@realmail.com","","91-987659131","","","Immediate","Warm","Not interested anymore","agent@groweasy.ai"
"06/03/2026","Heidi Wilson","heidi.wilson@realmail.com","","91-987656048","","meridian_tower","Immediate","Warm","Called twice, didn't pick up","agent@groweasy.ai"
"06/24/2026","Frank Kumar","frank.kumar@realmail.com","","91-987658441","","","Immediate","Hot","Called twice, didn't pick up","agent@groweasy.ai"
"06/19/2026","Ivan Johnson","ivan.johnson@realmail.com","","91-987658197","","","Q1 2027","Hot","Payment received","agent@groweasy.ai"
"06/03/2026","Grace Kumar","grace.kumar@realmail.com","","91-987653992","","sarjapur_plots","End of 2026","","Need to schedule a follow up call","agent@groweasy.ai"
"06/05/2026","Bob Taylor","bob.taylor@realmail.com","","91-987659343","","leads_on_demand","Q1 2027","Warm","Not interested anymore","agent@groweasy.ai"
"06/01/2026","Rahul Singh","rahul.singh@realmail.com","","91-987659553","91-998873819","varah_swamy","Immediate","Warm","Called twice, didn't pick up","agent@groweasy.ai"
"06/26/2026","Anjali Smith","anjali.smith@realmail.com","","91-987656650","","","Q1 2027","Hot","","agent@groweasy.ai"
"06/05/2026","Alice Johnson","alice.johnson@realmail.com","","91-987654520","91-998873869","","","","Not interested anymore","agent@groweasy.ai"
"06/16/2026","Eve Davis","eve.davis@realmail.com","","91-987652582","","eden_park","Q1 2027","","","agent@groweasy.ai"
"06/16/2026","Charlie Patel","charlie.patel@realmail.com","","91-987657551","91-998873586","","","Hot","Not interested anymore","agent@groweasy.ai"
"06/27/2026","Peggy Moore","peggy.moore@realmail.com","","91-987655655","","leads_on_demand","","","Not interested anymore","agent@groweasy.ai"
"06/15/2026","Victor Johnson","victor.johnson@realmail.com","","91-987656731","","","Immediate","Hot","Not interested anymore","agent@groweasy.ai"
"06/10/2026","Bob Patel","","","","","sarjapur_plots","Q1 2027","Cold","Just looking for investment","agent@groweasy.ai"
"06/08/2026","Judy Smith","judy.smith@realmail.com","","91-987651853","91-998872545","meridian_tower","","Hot","Client wants a sea-facing apartment","agent@groweasy.ai"
"06/10/2026","Judy Brown","judy.brown@realmail.com","","91-987656756","91-998879963","sarjapur_plots","Q1 2027","","Called twice, didn't pick up","agent@groweasy.ai"
"06/21/2026","Bob Gupta","bob.gupta@realmail.com","","91-987654676","91-998878794","sarjapur_plots","","","Just looking for investment","agent@groweasy.ai"
"06/01/2026","Bob Miller","bob.miller@realmail.com","","91-987655647","","varah_swamy","","Cold","Need to schedule a follow up call","agent@groweasy.ai"
"06/06/2026","Frank Smith","frank.smith@realmail.com","","91-987652614","","","Immediate","","Need to schedule a follow up call","agent@groweasy.ai"
"06/04/2026","Diana Brown","diana.brown@realmail.com","","91-987658483","91-998875424","","Q1 2027","Hot","Payment received","agent@groweasy.ai"
"06/22/2026","Charlie Brown","charlie.brown@realmail.com","","91-987652035","","","","","Payment received","agent@groweasy.ai"
"06/22/2026","Peggy Johnson","peggy.johnson@realmail.com","","91-987655474","91-998873482","","","Hot","Client wants a sea-facing apartment","agent@groweasy.ai"
"06/25/2026","Vikram Johnson","vikram.johnson@realmail.com","","91-987653421","91-998873437","varah_swamy","Immediate","Warm","Just looking for investment","agent@groweasy.ai"
"06/18/2026","Arjun Brown","arjun.brown@realmail.com","","91-987657531","","meridian_tower","Q1 2027","Hot","Payment received","agent@groweasy.ai"
"06/07/2026","Diana Wilson","diana.wilson@realmail.com","","91-987654468","","meridian_tower","","Cold","Need to schedule a follow up call","agent@groweasy.ai"
"06/05/2026","Alice Jones","alice.jones@realmail.com","","91-987652293","","sarjapur_plots","","Warm","Need to schedule a follow up call","agent@groweasy.ai"
"06/10/2026","Rahul Kumar","rahul.kumar@realmail.com","","91-987652683","91-998874191","leads_on_demand","Immediate","Cold","Not interested anymore","agent@groweasy.ai"
"06/07/2026","Eve Brown","eve.brown@realmail.com","","91-987659945","","","Q1 2027","Hot","Client wants a sea-facing apartment","agent@groweasy.ai"
"06/13/2026","Priya Miller","priya.miller@realmail.com","","91-987653627","","","Immediate","Cold","","agent@groweasy.ai"
